   einzelspalt              doppelspalt               doppelspalt
zeta/mm    I/nA           zeta/mm  I/nA             zeta/mm  I/nA
16.85         3             22.65   32.0              22.85   1.1
17.35         2             22.90   14.0              23.10   0.9
17.85         1             23.15    4.4              23.35   0.6
18.35         2             23.40    5.0              23.60   0.4
18.85         4             23.65    3.6              23.85   0.8
19.35         7             23.90    1.8              24.10   1.9
19.85         8             24.15    2.0              24.35   3.0
20.35         7             24.40    8.0              24.60   3.1
20.85         4             24.65   30.0              24.85   2.6
21.35         2             24.90   40.0              25.10   1.7
21.85         6             25.15    2.0              25.35   0.9
22.35        14             25.40    4.0              25.60   0.5
22.85        24             25.65  160.0              25.85   0.6
23.35        28             25.90  210.0              26.10   2.5
23.85        21             26.15  100.0              26.35   8.0
24.35         8             26.40  100.0              26.60  16.0
24.85         6             26.65  380.0              26.85  23.0
25.35        42             26.90  540.0              27.10  25.0
25.85       120             27.15  270.0              27.35  17.0
26.35       280             27.40  140.0              27.60   6.5
26.85       490             27.65  550.0              27.85   4.5
27.35       680             27.90  860.0              28.10  20.0
27.60       780             28.15  530.0              28.35  50.0
27.85       840             28.40  200.0              28.60  78.0
28.10       850             28.65  780.0              28.85  90.0
28.35       860             28.90  970.0              29.10  76.0
28.60       840             29.15  740.0              29.35  46.0
28.85       800             29.40  240.0              29.60  18.0
29.10       740             29.65  420.0              29.85   5.0
29.35       640             29.90  840.0              30.10   8.0
29.85       440             30.15  720.0              30.35  19.0
30.35       240             30.40  250.0              30.60  26.0
30.85       100             30.65  250.0              30.85  25.0
31.35        10             30.90  540.0              31.10  27.0
31.85         5             31.15  520.0              31.35   8.0
32.35        10             31.40  210.0              31.60   3.0
32.85        20             31.65  120.0              31.85   1.0
33.35        42             31.90  220.0              32.10   0.5
33.85        32             32.15  240.0              32.35   0.7
34.35        16             32.40  120.0              32.60   1.6
34.85         8             32.65   50.0              32.85   3.0
35.35        10             32.90   64.0              33.10   3.7
35.85        16             33.15   65.0              33.35   3.2
36.35        22             33.40   41.0              33.60   1.8
36.85        22             33.65   22.0              33.85   0.7
37.35        16             33.90   10.0              34.10   0.6
37.85         8             34.15    6.0              34.35   1.3
38.35         4             34.40   10.0              34.60   1.9
38.85         5             34.65    9.0              34.85   2.1
39.35         8             34.90    9.0              35.10   1.8
39.85        12             35.15   10.0              35.35   1.2
