U/V           I/nA      I/nA      I/nA      I/nA      I/nA
  0           0          0           0          0        0
  5           0          0           0          0        8
 10           2          0          11          7       50
 15           5          6          28         34      112
 20           6         14          46         75      192
 25           7         19          54        124      287
 30           7         22          58        202      396
 35           7         23          60        227      503
 40           8         24          61        243      603
 45           8         24          62        250      692
 50           8         25          63        254      782
 60           8         25          64        259      942
 70           8         25          64        263     1073
 80           8         25          65        266     1165
 90           8         26          65        268     1220
100           9         26          66        269     1257
110           9         26          66        271     1285
120           9         26          66        272     1301
130           9         26          67        273     1313
140           9         26          67        274     1321
150           9         27          67        275     1329
160           9         27          67        276     1335
170           9         27          68        277     1340
180           9         27          68        278     1345
190           9         27          68        279     1350
200           9         27          68        280     1354
210           9         27          69        280     1358
220           9         27          69        281     1361
230           9         27          69        282     1364
240           9         27          69        282     1368
250           9         27          69        283     1372
