R_a       U_k       I
Ohm       mV        mA
 0.0       70       74
 2.5      100       72
 5.0      390       56
 7.5      510       48
10.0      640       42
12.5      740       36
15.0      790       33
17.5      860       29
20.0      910       26
22.5      960       22
25.0     1000       21
27.5      990       18
30.0     1020       16
32.5     1050       15
35.0     1050       14
37.5     1080       12
40.0     1110       11
42.5     1125        9
45.0     1140        8
47.5     1170        7
50.0     1200        7
