R_a       U_k       I
Ohm       mV        mA
 20.0      96       2.61
 31.5      96       2.61
 43.0     114       2.31
 54.5     129       2.04
 66.0     138       1.89
 77.5     147       1.71
 89.0     153       1.59
100.5     159       1.50
112.0     165       1.41
123.5     168       1.32
135.0     174       1.26
146.5     177       1.20
158.0     183       1.14
169.5     186       1.08
181.0     189       1.02
192.5     192       0.99
204.0     192       0.93
215.5     195       0.90
227.0     198       0.87
238.5     198       0.84
250.0     198       0.84
