Phi     Delta_phi2     U_max            U2_out
Grad     Grad         Volt *10^-4     V *10^-4
  0      -105          0                 0.00
 15       -90          5                 3.07
 30       -75          16                8.82
 45       -60          35               15.76
 90       -15          50                0.00
120        15          46              -14.64
135        30          38              -17.11
165        60          10               -6.15
180        75          1                -0.64
210       105          -20              11.03
225       120          -35              15.76
255       150          -50               8.24
