Phase   Delta_phi    U_max        U_out
Grad       Grad      V * 10^-3   V * 10^-3

  0       -105         -5          -3.18
 15        -90          5           3.07
 30        -75         25          13.78
 45        -60         45          20.27
 90        -15         80           0.00          
120         15         78         -24.83
135         30         65         -29.26
165         60         20         -12.30
180         75          5          -3.18
210        105        -25          13.78
225        120        -53          23.86
255        150        -80          13.18
