Zählrohrwinkel	Rate bei 35kV mit Au
2*theta/°	R(35kV)/Imp/s

23,0	59,0
23,2	59,0
23,4	59,0
23,6	56,0
23,8	60,0
24,0	58,0
24,2	61,0
24,4	62,0
24,6	62,0
24,8	61,0
25,0	64,0
25,2	67,0
25,4	72,0
25,6	70,0
25,8	66,0
26,0	64,0
26,2	62,0
26,4	60,0
26,6	56,0
26,8	56,0
27,0	53,0
27,2	52,0
27,4	54,0
27,6	53,0
27,8	51,0
28,0	53,0
28,2	53,0
28,4	49,0
28,6	55,0
28,8	53,0
29,0	57,0
29,2	63,0
29,4	71,0
29,6	77,0
29,8	82,0
30,0	77,0
30,2	74,0
30,4	73,0
30,6	71,0
30,8	73,0
31,0	73,0
31,2	69,0
31,4	69,0
31,6	67,0
31,8	67,0
32,0	67,0
32,2	67,0
32,4	63,0
32,5	67,0
32,8	61,0
33,0	61,0
