Zählrohrwinkel	Rate bei 35kV mit Br
2*theta/°	R(35kV)/Imp/s

22,4	18,0
22,6	19,0
22,8	18,0
23,0	17,0
23,2	14,0
23,4	17,0
23,6	16,0
23,8	17,0
24,0	15,0
24,2	15,0
24,4	16,0
24,6	16,0
24,8	15,0
25,0	15,0
25,2	16,0
25,4	19,0
25,6	25,0
25,8	34,0
26,0	40,0
26,2	43,0
26,4	43,0
26,6	42,0
26,8	37,0
27,0	34,0
27,2	33,0
27,4	33,0
27,6	35,0
27,8	34,0
28,0	32,0
28,2	30,0
28,4	30,0
28,6	31,0
28,8	29,0
29,0	27,0
29,2	28,0
29,4	26,0
29,6	25,0
29,8	24,0
30,0	24,0
30,2	24,0
30,4	21,0
