Zählrohrwinkel	Rate bei 35kV mit Sr
2*theta/°	R(35kV)/Imp/s

18,0	26,0
18,2	28,0
18,4	26,0
18,6	29,0
18,8	33,0
19,0	30,0
19,2	32,0
19,4	29,0
19,6	30,0
19,8	33,0
20,0	30,0
20,2	31,0
20,4	32,0
20,6	32,0
20,8	40,0
21,0	39,0
21,2	43,0
21,4	57,0
21,6	73,0
21,7	83,0
22,0	80,0
22,2	77,0
22,4	79,0
22,6	80,0
22,8	84,0
23,0	74,0
23,2	79,0
23,4	78,0
23,6	77,0
23,8	78,0
24,0	80,0
24,2	83,0
24,4	79,0
24,6	76,0
24,8	78,0
25,0	75,0
25,2	75,0
25,4	72,0
25,6	69,0
25,8	65,0
26,0	65,0
