Zählrohrwinkel	Rate bei 35kV mit Zn
2*theta/°	R(35kV)/Imp/s

33,2	53,0
33,4	50,0
33,6	49,0
33,8	48,0
34,0	46,0
34,2	45,0
34,4	43,0
34,5	47,0
34,8	43,0
35,0	43,0
35,2	45,0
35,4	42,0
35,5	41,0
35,8	40,0
36,0	45,0
36,2	54,0
36,4	62,0
36,5	70,0
36,8	75,0
37,0	77,0
37,2	71,0
37,4	73,0
37,5	74,0
37,8	70,0
38,0	71,0
38,2	70,0
38,4	71,0
38,6	73,0
38,8	106,0
39,0	197,0
39,2	410,0
39,4	619,0
39,5	745,0
39,8	838,0
40,0	639,0
40,2	287,0
40,4	118,0
40,5	104,0
40,8	90,0
41,0	83,0
41,2	81,0
