Zählrohrwinkel	Rate bei 35kV
2*theta/°	R(35kV)/Imp/s

8,0	27,0
8,4	30,0
8,8	31,0
9,2	32,0
9,6	29,0
10,0	30,0
10,4	33,0
10,8	39,0
11,2	41,0
11,6	41,0
12,0	54,0
12,4	57,0
12,8	61,0
13,2	66,0
13,6	74,0
14,0	74,0
14,4	86,0
14,8	90,0
15,2	97,0
15,6	95,0
16,0	103,0
16,4	111,0
16,7	111,0
17,2	122,0
17,6	135,0
18,0	134,0
18,4	144,0
18,8	155,0
19,2	161,0
19,6	158,0
20,0	171,0
20,4	169,0
20,8	184,0
21,2	192,0
21,6	193,0
22,0	188,0
22,4	200,0
22,8	214,0
23,2	191,0
23,6	193,0
24,0	199,0
24,4	202,0
24,8	213,0
25,2	219,0
25,6	198,0
26,0	179,0
26,4	185,0
26,8	170,0
27,2	172,0
27,6	174,0
28,0	167,0
28,4	161,0
28,8	178,0
29,2	161,0
29,6	160,0
30,0	163,0
30,4	158,0
30,8	162,0
31,2	152,0
31,6	149,0
32,0	151,0
32,4	143,0
32,8	146,0
33,2	140,0
33,6	145,0
34,0	139,0
34,4	141,0
34,8	135,0
35,2	129,0
35,5	126,0
36,0	121,0
36,4	117,0
36,8	115,0
37,2	110,0
37,5	108,0
38,0	101,0
38,4	114,0
38,8	192,0
39,2	782,0
39,5	1156,0
40,0	848,0
40,4	166,0
40,8	141,0
41,2	143,0
41,5	129,0
42,0	119,0
42,4	134,0
42,8	148,0
43,2	182,0
43,6	797,0
44,0	3642,0
44,4	4034,0
44,8	841,0
45,2	128,0
45,5	110,0
46,0	97,0
46,4	78,0
46,8	76,0
47,2	72,0
47,6	72,0
48,0	66,0
48,4	70,0
48,8	62,0
49,2	57,0
49,6	56,0
50,0	61,0
50,4	49,0
50,8	57,0
51,2	55,0
51,6	51,0
52,0	50,0
