Frequenz  Ausgangsspannung
nu/kHz    Ua/mV

20.0      0
22.0      5.7
24.0      7.1
26.0      9.1
28.0      11.4
30.0      16.5
32.0      28.8
33.0       45.0
33.1       46.0
33.2       49.0
33.3       53.0
33.4       54.0
33.5       58.0
33.6       62.0
33.7       66.0
33.8       73.0
33.9       79.0
34.0       84.0
34.1       92.0
34.2       96.0
34.3      117.0
34.4      120.0
34.5      141.0
34.6      165.0
34.7      234.0
34.8      234.0
34.9      320.0
35.0      405.0
35.1      475.0
35.2      415.0
35.3      370.0
35.4      245.0
35.5      235.0
35.6      180.0
35.7      138.0
35.8      132.0
35.9      114.0
36.0      105.0
38.0      33.0
40.0      19.5
