Zählrohrwinkel	Rate bei 35kV mit Ge
2*theta/°	R(35kV)/Imp/s

28,2	28,0
28,4	27,0
28,6	26,0
28,8	26,0
29,0	29,0
29,2	25,0
29,4	24,0
29,6	24,0
29,8	21,0
30,0	26,0
30,2	23,0
30,4	22,0
30,6	23,0
30,8	22,0
31,0	23,0
31,2	27,0
31,4	29,0
31,6	37,0
31,8	45,0
32,0	48,0
32,2	43,0
32,4	42,0
32,5	40,0
32,8	43,0
33,0	42,0
33,2	38,0
33,4	41,0
33,6	37,0
33,8	37,0
34,0	37,0
34,2	35,0
34,4	33,0
34,5	35,0
34,8	32,0
35,0	34,0
35,2	33,0
35,4	30,0
35,5	33,0
35,8	29,0
36,0	27,0
36,2	27,0
