Zählrohrwinkel	Rate bei 35kV mit Zr
2*theta/°	R(35kV)/Imp/s

15,8	47,0
16,0	51,0
16,2	48,0
16,4	48,0
16,6	51,0
16,7	52,0
17,0	50,0
17,2	49,0
17,4	51,0
17,6	52,0
17,7	52,0
18,0	52,0
18,2	49,0
18,4	49,0
18,6	54,0
18,8	60,0
19,0	77,0
19,2	101,0
19,4	115,0
19,6	120,0
19,8	127,0
20,0	125,0
20,2	127,0
20,4	122,0
20,6	130,0
20,8	135,0
21,0	130,0
21,2	132,0
21,4	136,0
21,6	139,0
21,7	138,0
22,0	133,0
22,2	135,0
22,4	138,0
22,6	136,0
22,8	142,0
23,0	129,0
23,2	127,0
23,4	131,0
23,6	127,0
23,8	125,0
