T       p
°C      mbar
52      137
53      146
54      153
55      160
56      167
57      174
58      183
59      191
60      200
61      209
62      219
63      229
64      239
65      249
66      261
67      271
68      286
69      299
70      311
71      325
72      339
73      352
74      369
75      384
76      400
77      417
78      439
79      454
80      474
81      490
82      515
83      532
84      555
85      577
86      600
87      625
88      650
89      666
90      702
91      726
92      756
93      780
94      807
95      837
96      881
97      912
98      947
99      988
100     1012
