t	   T1		   T2 	 T3 	 T4	   T5 	 T6 	 T7 	 T8
s 	 °C		    °C	 °C	   °C 	 °C	   °C	   °C	   °C
1	  29.38		28.16	27.58	28.57	28.63	27.98	29.21	28.85
2	  29.35		28.13	27.53	28.55	28.60	27.95	29.19	28.84
3	  29.33		28.07	27.48	28.52	28.57	27.93	29.16	28.83
4	  29.31		28.03	27.44	28.51	28.55	27.93	29.13	28.84
5	  29.29		28.01	27.42	28.48	28.53	27.95	29.11	28.83
6	  29.27		27.99	27.41	28.46	28.51	28.00	29.08	28.82
7	  29.25		27.99	27.42	28.44	28.48	28.07	29.06	28.82
8	  29.22		28.00	27.45	28.41	28.46	28.16	29.04	28.82
9	  29.20		28.02	27.50	28.39	28.45	28.27	29.02	28.81
10	29.17		28.06	27.55	28.36	28.44	28.40	29.01	28.80
11	29.15		28.11	27.62	28.35	28.43	28.53	29.00	28.80
12	29.13		28.16	27.69	28.32	28.43	28.67	28.98	28.80
13	29.11		28.23	27.77	28.30	28.43	28.82	28.98	28.79
14	29.09		28.29	27.86	28.27	28.43	28.97	28.98	28.79
15	29.07		28.37	27.96	28.27	28.45	29.12	28.99	28.78
16	29.06		28.46	28.06	28.24	28.47	29.28	28.99	28.78
17	29.04		28.54	28.17	28.22	28.49	29.43	29.02	28.77
18	29.02		28.63	28.28	28.21	28.52	29.59	29.02	28.77
19	29.01		28.72	28.39	28.20	28.55	29.75	29.04	28.76
20	29.00		28.82	28.50	28.19	28.58	29.91	29.07	28.76
21	28.99		28.92	28.62	28.18	28.62	30.06	29.10	28.76
22	28.98		29.02	28.73	28.17	28.66	30.21	29.14	28.75
23	28.98		29.12	28.85	28.17	28.71	30.37	29.17	28.75
24	28.98		29.23	28.97	28.16	28.75	30.52	29.21	28.74
25	28.97		29.33	29.09	28.16	28.80	30.67	29.25	28.74
26	28.97		29.43	29.21	28.17	28.85	30.82	29.30	28.73
27	28.97		29.54	29.34	28.17	28.91	30.96	29.35	28.73
28	28.97		29.64	29.46	28.17	28.96	31.11	29.40	28.73
29	28.98		29.74	29.57	28.18	29.02	31.24	29.45	28.72
30	28.98		29.84	29.69	28.18	29.08	31.38	29.51	28.72
31	28.99		29.95	29.81	28.19	29.14	31.52	29.56	28.71
32	29.00		30.05	29.93	28.20	29.20	31.66	29.62	28.71
33	29.01		30.16	30.04	28.22	29.27	31.79	29.69	28.71
34	29.02		30.26	30.16	28.24	29.33	31.92	29.75	28.70
35	29.03		30.37	30.28	28.25	29.39	32.04	29.81	28.70
36	29.05		30.47	30.40	28.26	29.46	32.18	29.88	28.70
37	29.07		30.57	30.51	28.28	29.53	32.30	29.96	28.69
38	29.08		30.67	30.62	28.29	29.60	32.42	30.02	28.69
39	29.10		30.77	30.73	28.32	29.67	32.55	30.10	28.69
40	29.13		30.87	30.84	28.34	29.74	32.67	30.17	28.68
41	29.15		30.96	30.95	28.36	29.81	32.79	30.24	28.68
42	29.17		31.06	31.07	28.39	29.88	32.90	30.32	28.67
43	29.19		31.16	31.17	28.41	29.95	33.01	30.39	28.67
44	29.21		31.25	31.28	28.44	30.02	33.13	30.47	28.66
45	29.24		31.34	31.39	28.47	30.10	33.25	30.54	28.66
46	29.26		31.44	31.50	28.49	30.17	33.36	30.62	28.66
47	29.29		31.53	31.59	28.52	30.24	33.47	30.70	28.65
48	29.32		31.62	31.69	28.55	30.32	33.58	30.77	28.65
49	29.34		31.71	31.80	28.58	30.39	33.68	30.85	28.65
50	29.38		31.80	31.90	28.61	30.47	33.79	30.93	28.65
51	29.41		31.89	32.00	28.64	30.54	33.89	31.02	28.64
52	29.43		31.97	32.10	28.67	30.61	34.00	31.09	28.63
53	29.47		32.06	32.20	28.71	30.69	34.10	31.17	28.64
54	29.50		32.15	32.29	28.74	30.77	34.21	31.25	28.63
55	29.53		32.23	32.39	28.77	30.85	34.30	31.33	28.63
56	29.56		32.31	32.48	28.80	30.92	34.40	31.41	28.63
57	29.59		32.40	32.57	28.84	31.00	34.50	31.50	28.62
58	29.62		32.48	32.67	28.88	31.08	34.60	31.57	28.62
59	29.66		32.57	32.76	28.91	31.15	34.69	31.66	28.62
60	29.69		32.65	32.85	28.94	31.24	34.80	31.74	28.62
61	29.73		32.73	32.94	28.98	31.30	34.89	31.82	28.61
62	29.76		32.80	33.02	29.02	31.38	34.98	31.90	28.61
63	29.80		32.88	33.11	29.06	31.46	35.07	31.98	28.61
64	29.83		32.96	33.21	29.09	31.54	35.17	32.06	28.61
65	29.87		33.04	33.29	29.13	31.61	35.26	32.14	28.61
66	29.90		33.12	33.37	29.17	31.69	35.35	32.22	28.60
67	29.94		33.19	33.45	29.21	31.77	35.44	32.30	28.60
68	29.98		33.27	33.54	29.25	31.84	35.53	32.38	28.60
