t	   T1	    T2 	 T3 	 T4	   T5 	 T6 	 T7 	 T8
s 	 °C	    °C	 °C	   °C 	 °C	   °C	   °C	   °C
1	  23.67	23.59	23.88	23.58	22.06	22.35	24.06	26.24
2	  23.68	23.60	23.89	23.58	22.07	22.36	24.07	26.24
3	  23.68	23.61	23.90	23.59	22.08	22.38	24.07	26.23
4	  23.68	23.61	23.91	23.59	22.09	22.40	24.09	26.23
5	  23.68	23.63	23.93	23.59	22.11	22.42	24.10	26.23
6	  23.68	23.64	23.94	23.60	22.12	22.47	24.10	26.22
7	  23.69	23.66	23.97	23.61	22.13	22.56	24.11	26.22
8	  23.69	23.70	24.01	23.61	22.15	22.71	24.12	26.21
9	  23.68	23.75	24.08	23.61	22.16	22.91	24.14	26.21
10	23.69	23.82	24.17	23.62	22.18	23.15	24.15	26.20
11	23.69	23.92	24.28	23.62	22.20	23.45	24.16	26.20
12	23.69	24.03	24.42	23.62	22.24	23.76	24.18	26.20
13	23.70	24.17	24.58	23.63	22.28	24.12	24.18	26.19
14	23.70	24.32	24.76	23.63	22.34	24.49	24.20	26.19
15	23.70	24.49	24.96	23.65	22.40	24.88	24.22	26.18
16	23.71	24.68	25.17	23.66	22.47	25.26	24.24	26.18
17	23.71	24.87	25.40	23.67	22.56	25.67	24.27	26.17
18	23.73	25.09	25.65	23.68	22.65	26.09	24.30	26.16
19	23.74	25.31	25.90	23.70	22.75	26.49	24.34	26.17
20	23.75	25.53	26.17	23.72	22.86	26.91	24.38	26.16
21	23.77	25.77	26.44	23.74	22.99	27.31	24.43	26.15
22	23.79	26.01	26.72	23.76	23.12	27.72	24.48	26.15
23	23.81	26.26	27.00	23.80	23.26	28.13	24.54	26.14
24	23.83	26.51	27.30	23.83	23.41	28.53	24.60	26.14
25	23.85	26.76	27.59	23.86	23.56	28.92	24.67	26.14
26	23.89	27.03	27.88	23.89	23.72	29.30	24.74	26.13
27	23.92	27.28	28.18	23.94	23.88	29.69	24.83	26.14
28	23.96	27.54	28.47	23.98	24.05	30.06	24.90	26.13
29	23.99	27.80	28.77	24.04	24.23	30.43	25.00	26.12
30	24.04	28.06	29.06	24.08	24.40	30.80	25.09	26.12
31	24.09	28.31	29.35	24.14	24.58	31.16	25.20	26.12
32	24.13	28.56	29.65	24.20	24.77	31.52	25.31	26.11
33	24.18	28.82	29.93	24.27	24.95	31.87	25.42	26.11
34	24.24	29.07	30.22	24.33	25.14	32.20	25.53	26.11
35	24.29	29.33	30.51	24.41	25.34	32.54	25.65	26.10
36	24.35	29.58	30.79	24.47	25.53	32.85	25.77	26.10
37	24.41	29.83	31.08	24.55	25.73	33.17	25.90	26.10
38	24.48	30.08	31.35	24.62	25.92	33.49	26.02	26.09
39	24.54	30.32	31.62	24.70	26.12	33.81	26.16	26.09
40	24.62	30.56	31.89	24.78	26.33	34.11	26.30	26.09
41	24.68	30.79	32.16	24.87	26.52	34.41	26.44	26.08
42	24.75	31.03	32.42	24.95	26.73	34.71	26.58	26.08
43	24.83	31.26	32.67	25.04	26.93	35.00	26.72	26.07
44	24.91	31.49	32.93	25.13	27.13	35.28	26.86	26.06
45	24.99	31.73	33.18	25.22	27.34	35.56	27.02	26.06
46	25.07	31.96	33.42	25.31	27.54	35.83	27.16	26.06
47	25.15	32.17	33.66	25.40	27.74	36.10	27.32	26.05
