t	 T1	 T2	 T3	 T4	 T5	 T6	 T7	 T8
s	 °C	 °C 	 °C	 °C	 °C	 °C	 °C	 °C
1	  28.96	27.33	26.36	28.07	27.54	25.62	28.66	29.26
2	  28.95	27.31	26.33	28.05	27.52	25.60	28.64	29.25
3	  28.94	27.29	26.32	28.04	27.49	25.58	28.62	29.25
4   28.93	27.27	26.30	28.03	27.47	25.55	28.61	29.25
5	  28.91	27.26	26.27	28.02	27.46	25.54	28.59	29.25
6	  28.90	27.24	26.25	28.01	27.43	25.52	28.57	29.24
7	  28.89	27.22	26.23	28.00	27.41	25.51	28.56	29.25
8	  28.88	27.20	26.21	27.98	27.39	25.50	28.53	29.24
9	  28.88	27.18	26.20	27.98	27.37	25.49	28.52	29.24
10	28.86	27.17	26.18	27.96	27.35	25.49	28.50	29.24
11	28.85	27.15	26.17	27.95	27.33	25.50	28.47	29.24
12	28.84	27.14	26.16	27.94	27.31	25.51	28.46	29.23
13	28.83	27.13	26.15	27.93	27.29	25.53	28.45	29.23
14	28.82	27.12	26.14	27.91	27.27	25.55	28.43	29.23
15	28.81	27.11	26.13	27.91	27.25	25.58	28.42	29.23
16	28.80	27.11	26.13	27.89	27.23	25.61	28.40	29.22
17	28.78	27.11	26.13	27.88	27.21	25.65	28.38	29.22
18	28.78	27.10	26.14	27.87	27.20	25.70	28.36	29.22
19	28.76	27.11	26.14	27.86	27.18	25.73	28.35	29.22
20	28.75	27.11	26.15	27.85	27.17	25.79	28.33	29.21
21	28.74	27.12	26.17	27.84	27.14	25.84	28.31	29.21
22	28.73	27.12	26.17	27.83	27.14	25.90	28.30	29.21
23	28.72	27.13	26.19	27.81	27.12	25.95	28.28	29.21
24	28.71	27.15	26.21	27.80	27.11	26.02	28.26	29.21
25	28.70	27.16	26.23	27.80	27.10	26.08	28.25	29.20
26	28.69	27.18	26.24	27.78	27.08	26.15	28.23	29.20
27	28.68	27.20	26.28	27.77	27.08	26.23	28.22	29.20
28	28.67	27.22	26.30	27.76	27.06	26.29	28.20	29.20
29	28.66	27.24	26.32	27.75	27.06	26.36	28.19	29.19
30	28.65	27.26	26.36	27.74	27.05	26.44	28.18	29.20
31	28.64	27.29	26.40	27.73	27.05	26.51	28.16	29.19
32	28.63	27.32	26.42	27.72	27.04	26.59	28.15	29.19
33	28.62	27.35	26.47	27.71	27.05	26.67	28.13	29.19
34	28.61	27.37	26.50	27.70	27.04	26.75	28.12	29.19
35	28.60	27.41	26.54	27.70	27.04	26.82	28.11	29.19
36	28.59	27.43	26.57	27.68	27.04	26.90	28.10	29.18
37	28.59	27.47	26.62	27.67	27.05	26.98	28.09	29.18
38	28.57	27.50	26.66	27.67	27.05	27.06	28.07	29.18
39	28.56	27.54	26.70	27.66	27.05	27.15	28.06	29.18
40	28.55	27.57	26.75	27.64	27.05	27.23	28.06	29.17
41	28.55	27.61	26.79	27.64	27.06	27.30	28.05	29.17
42	28.54	27.65	26.84	27.64	27.07	27.38	28.04	29.17
43	28.53	27.69	26.89	27.63	27.07	27.47	28.03	29.17
44	28.52	27.73	26.94	27.62	27.08	27.54	28.02	29.16
45	28.52	27.77	26.98	27.60	27.09	27.63	28.02	29.16
46	28.51	27.81	27.03	27.60	27.10	27.70	28.02	29.16
47	28.50	27.85	27.09	27.61	27.11	27.79	28.01	29.16
48	28.50	27.90	27.15	27.60	27.12	27.86	28.00	29.16
49	28.49	27.94	27.19	27.59	27.13	27.95	28.00	29.16
50	28.48	27.98	27.25	27.58	27.15	28.03	27.99	29.16
51	28.48	28.03	27.30	27.58	27.16	28.10	27.99	29.15
52	28.48	28.07	27.35	27.58	27.18	28.18	27.98	29.15
53	28.47	28.11	27.40	27.58	27.19	28.26	27.98	29.15
54	28.46	28.16	27.46	27.57	27.21	28.34	27.98	29.15
55	28.46	28.21	27.51	27.56	27.23	28.41	27.98	29.14
56	28.46	28.25	27.57	27.56	27.25	28.49	27.98	29.14
57	28.45	28.29	27.62	27.56	27.26	28.57	27.98	29.14
58	28.45	28.34	27.68	27.56	27.28	28.64	27.97	29.14
59	28.44	28.39	27.73	27.56	27.30	28.72	27.98	29.14
60	28.45	28.43	27.79	27.55	27.32	28.80	27.98	29.14
61	28.44	28.48	27.85	27.55	27.34	28.86	27.99	29.13
62	28.44	28.53	27.90	27.56	27.36	28.94	27.99	29.13
63	28.44	28.57	27.95	27.55	27.38	29.01	28.00	29.13
64	28.43	28.62	28.02	27.55	27.41	29.09	28.00	29.12
65	28.43	28.67	28.07	27.55	27.43	29.16	28.00	29.12
66	28.43	28.71	28.13	27.55	27.45	29.23	28.01	29.12
67	28.43	28.76	28.18	27.56	27.47	29.31	28.01	29.12
68	28.44	28.81	28.24	27.56	27.50	29.38	28.02	29.12
69	28.43	28.85	28.29	27.56	27.52	29.44	28.03	29.12
70	28.44	28.90	28.35	27.56	27.55	29.52	28.03	29.11
71	28.43	28.95	28.42	27.56	27.57	29.59	28.04	29.11
72	28.43	29.00	28.46	27.57	27.60	29.65	28.05	29.11
73	28.44	29.04	28.52	27.57	27.63	29.72	28.06	29.10
74	28.43	29.09	28.57	27.57	27.64	29.78	28.07	29.10
75	28.43	29.14	28.62	27.58	27.68	29.85	28.08	29.10
76	28.44	29.18	28.69	27.58	27.70	29.92	28.09	29.10
77	28.44	29.23	28.74	27.58	27.73	29.98	28.10	29.10
78	28.44	29.28	28.80	27.59	27.75	30.05	28.10	29.10
79	28.45	29.32	28.86	27.60	27.78	30.12	28.12	29.09
80	28.45	29.37	28.91	27.60	27.81	30.18	28.13	29.09
81	28.45	29.42	28.96	27.61	27.84	30.24	28.14	29.09
82	28.45	29.46	29.01	27.62	27.87	30.31	28.15	29.09
83	28.46	29.51	29.07	27.62	27.90	30.37	28.17	29.08
84	28.46	29.56	29.12	27.63	27.93	30.43	28.18	29.09
85	28.46	29.60	29.18	27.63	27.95	30.49	28.20	29.08
86	28.47	29.64	29.23	27.64	27.99	30.55	28.21	29.08
87	28.48	29.69	29.28	27.65	28.02	30.61	28.23	29.08
88	28.48	29.73	29.34	27.66	28.04	30.68	28.24	29.08
89	28.48	29.78	29.40	27.66	28.07	30.73	28.26	29.08
90	28.49	29.83	29.44	27.67	28.10	30.80	28.27	29.07
91	28.49	29.87	29.50	27.68	28.13	30.86	28.28	29.06
92	28.50	29.91	29.55	27.69	28.16	30.91	28.31	29.06
93	28.50	29.96	29.60	27.70	28.19	30.97	28.32	29.07
94	28.51	30.00	29.65	27.70	28.21	31.03	28.34	29.06
95	28.52	30.04	29.71	27.71	28.25	31.08	28.36	29.07
96	28.53	30.09	29.75	27.72	28.28	31.14	28.38	29.06
97	28.53	30.13	29.81	27.73	28.31	31.19	28.39	29.05
98	28.54	30.17	29.86	27.74	28.34	31.25	28.42	29.06
99	28.55	30.22	29.91	27.75	28.37	31.30	28.43	29.05
100	28.56	30.26	29.96	27.76	28.40	31.36	28.45	29.05
101	28.57	30.30	30.01	27.77	28.44	31.41	28.47	29.05
102	28.57	30.35	30.06	27.79	28.47	31.47	28.49	29.04
103	28.58	30.39	30.11	27.79	28.50	31.52	28.51	29.04
104	28.58	30.43	30.16	27.80	28.53	31.58	28.53	29.04
105	28.60	30.47	30.21	27.82	28.56	31.64	28.55	29.04
106	28.60	30.51	30.25	27.82	28.59	31.68	28.58	29.03
107	28.61	30.55	30.30	27.84	28.63	31.74	28.60	29.04
108	28.61	30.60	30.36	27.86	28.66	31.79	28.62	29.03
109	28.63	30.64	30.40	27.86	28.69	31.84	28.64	29.03
110	28.64	30.68	30.45	27.87	28.73	31.88	28.66	29.03
111	28.65	30.72	30.50	27.89	28.75	31.94	28.68	29.03
112	28.66	30.76	30.54	27.90	28.79	31.99	28.71	29.03
113	28.67	30.80	30.59	27.91	28.82	32.04	28.73	29.02
114	28.68	30.84	30.64	27.93	28.85	32.08	28.75	29.02
115	28.69	30.88	30.68	27.94	28.89	32.13	28.77	29.02
116	28.70	30.92	30.73	27.95	28.92	32.18	28.80	29.02
117	28.70	30.97	30.78	27.96	28.95	32.24	28.82	29.01
118	28.71	31.00	30.82	27.98	28.98	32.28	28.85	29.01
119	28.73	31.04	30.87	28.00	29.01	32.33	28.87	29.01
120	28.74	31.08	30.91	28.00	29.05	32.38	28.89	29.01
121	28.74	31.11	30.96	28.02	29.08	32.43	28.92	29.01
122	28.76	31.16	31.00	28.03	29.12	32.48	28.94	29.00
123	28.77	31.19	31.05	28.05	29.14	32.52	28.96	29.00
124	28.78	31.23	31.09	28.06	29.18	32.57	28.99	29.01
125	28.79	31.27	31.13	28.08	29.21	32.61	29.01	29.00
126	28.80	31.30	31.18	28.09	29.24	32.66	29.04	29.00
127	28.82	31.34	31.22	28.10	29.28	32.70	29.07	29.00
128	28.82	31.38	31.27	28.12	29.31	32.75	29.08	28.99
129	28.84	31.41	31.31	28.13	29.34	32.79	29.11	28.99
130	28.85	31.45	31.34	28.15	29.38	32.83	29.13	28.99
131	28.86	31.49	31.39	28.16	29.41	32.88	29.17	28.98
132	28.87	31.52	31.43	28.18	29.44	32.92	29.19	28.98
133	28.88	31.56	31.47	28.19	29.48	32.96	29.22	28.98
134	28.89	31.59	31.51	28.21	29.51	33.01	29.24	28.98
135	28.91	31.63	31.55	28.22	29.54	33.05	29.27	28.97
136	28.92	31.67	31.59	28.23	29.57	33.09	29.30	28.98
137	28.93	31.70	31.64	28.26	29.61	33.14	29.32	28.97
138	28.94	31.74	31.68	28.27	29.64	33.17	29.35	28.97
139	28.96	31.77	31.72	28.28	29.67	33.21	29.38	28.97
140	28.97	31.81	31.76	28.30	29.71	33.26	29.40	28.97
141	28.99	31.85	31.81	28.31	29.73	33.30	29.43	28.97
142	28.99	31.88	31.83	28.33	29.77	33.34	29.46	28.97
143	29.01	31.91	31.88	28.35	29.80	33.39	29.48	28.96
144	29.02	31.95	31.92	28.37	29.84	33.42	29.51	28.96
145	29.03	31.98	31.96	28.38	29.87	33.46	29.54	28.96
146	29.05	32.02	31.99	28.39	29.90	33.50	29.57	28.95
147	29.05	32.05	32.03	28.41	29.94	33.54	29.59	28.96
148	29.07	32.09	32.06	28.43	29.97	33.58	29.62	28.95
149	29.08	32.12	32.11	28.45	30.00	33.62	29.65	28.95
150	29.10	32.15	32.14	28.46	30.03	33.66	29.67	28.95
151	29.11	32.18	32.18	28.47	30.07	33.70	29.70	28.94
152	29.12	32.21	32.22	28.49	30.10	33.74	29.72	28.94
153	29.14	32.24	32.25	28.51	30.13	33.78	29.75	28.94
154	29.15	32.28	32.29	28.52	30.17	33.81	29.78	28.93
155	29.16	32.31	32.33	28.54	30.20	33.85	29.80	28.94
156	29.18	32.34	32.36	28.56	30.23	33.89	29.83	28.93
157	29.19	32.38	32.40	28.58	30.27	33.93	29.86	28.94
158	29.20	32.41	32.44	28.59	30.30	33.97	29.89	28.94
159	29.21	32.43	32.47	28.60	30.33	34.01	29.92	28.93
160	29.23	32.47	32.51	28.63	30.37	34.04	29.94	28.94
161	29.24	32.50	32.55	28.65	30.40	34.08	29.97	28.93
162	29.26	32.52	32.58	28.66	30.43	34.12	30.00	28.92
163	29.27	32.56	32.61	28.68	30.46	34.14	30.03	28.92
164	29.28	32.59	32.65	28.70	30.50	34.18	30.05	28.92
165	29.30	32.62	32.68	28.71	30.52	34.22	30.08	28.92
166	29.31	32.65	32.71	28.73	30.56	34.26	30.11	28.92
167	29.33	32.68	32.75	28.74	30.60	34.29	30.14	28.92
168	29.34	32.71	32.78	28.76	30.62	34.33	30.16	28.91
169	29.36	32.74	32.81	28.78	30.66	34.37	30.19	28.91
170	29.37	32.77	32.85	28.79	30.69	34.40	30.22	28.90
171	29.38	32.80	32.88	28.81	30.72	34.43	30.25	28.91
172	29.40	32.83	32.91	28.83	30.75	34.47	30.28	28.91
173	29.41	32.86	32.95	28.85	30.78	34.51	30.31	28.91
174	29.43	32.88	32.98	28.86	30.82	34.53	30.33	28.90
175	29.44	32.92	33.01	28.88	30.85	34.57	30.36	28.90
176	29.46	32.94	33.04	28.90	30.89	34.61	30.39	28.90
177	29.47	32.98	33.08	28.92	30.91	34.64	30.41	28.89
178	29.48	33.01	33.11	28.93	30.95	34.67	30.45	28.89
179	29.50	33.03	33.14	28.95	30.98	34.71	30.48	28.89
180	29.51	33.06	33.17	28.97	31.01	34.74	30.50	28.89
181	29.53	33.09	33.20	28.99	31.04	34.78	30.52	28.89
182	29.54	33.11	33.23	29.00	31.07	34.81	30.55	28.89
183	29.56	33.14	33.26	29.01	31.10	34.84	30.58	28.88
184	29.57	33.17	33.29	29.04	31.14	34.88	30.61	28.89
185	29.58	33.20	33.33	29.05	31.17	34.90	30.63	28.88
186	29.60	33.23	33.35	29.07	31.20	34.93	30.66	28.88
187	29.61	33.25	33.38	29.09	31.23	34.97	30.69	28.88
188	29.63	33.28	33.42	29.10	31.26	35.00	30.72	28.88
189	29.64	33.31	33.44	29.12	31.29	35.04	30.74	28.88
190	29.66	33.33	33.47	29.14	31.32	35.07	30.77	28.88
191	29.67	33.36	33.50	29.16	31.36	35.10	30.80	28.88
192	29.69	33.38	33.53	29.17	31.40	35.13	30.82	28.87
193	29.70	33.41	33.56	29.20	31.43	35.16	30.86	28.88
194	29.71	33.44	33.59	29.21	31.45	35.19	30.88	28.87
195	29.73	33.46	33.62	29.23	31.48	35.23	30.91	28.87
196	29.74	33.49	33.65	29.25	31.52	35.25	30.93	28.86
197	29.76	33.51	33.68	29.26	31.54	35.29	30.96	28.87
198	29.78	33.54	33.70	29.28	31.58	35.31	30.99	28.87
199	29.78	33.57	33.73	29.30	31.60	35.35	31.02	28.86
200	29.80	33.59	33.76	29.31	31.64	35.38	31.04	28.86
201	29.82	33.61	33.79	29.33	31.67	35.41	31.07	28.86
202	29.84	33.64	33.82	29.35	31.70	35.44	31.10	28.86
203	29.85	33.67	33.85	29.37	31.73	35.47	31.13	28.86
204	29.86	33.69	33.87	29.39	31.76	35.50	31.15	28.85
205	29.88	33.72	33.89	29.40	31.80	35.53	31.18	28.85
206	29.89	33.74	33.92	29.42	31.82	35.56	31.20	28.86
207	29.90	33.77	33.95	29.44	31.85	35.59	31.23	28.85
208	29.92	33.79	33.98	29.46	31.88	35.62	31.26	28.85
209	29.94	33.81	34.00	29.47	31.91	35.65	31.29	28.85
210	29.95	33.84	34.03	29.49	31.95	35.68	31.31	28.85
211	29.96	33.86	34.06	29.51	31.98	35.70	31.34	28.86
212	29.98	33.89	34.08	29.53	32.01	35.73	31.36	28.85
213	29.99	33.91	34.11	29.54	32.03	35.76	31.39	28.85
214	30.01	33.94	34.13	29.56	32.07	35.79	31.42	28.85
215	30.02	33.96	34.16	29.58	32.10	35.82	31.44	28.84
216	30.04	33.99	34.19	29.59	32.12	35.85	31.47	28.84
217	30.06	34.01	34.21	29.61	32.16	35.87	31.50	28.84
218	30.06	34.03	34.23	29.63	32.19	35.91	31.52	28.84
219	30.09	34.05	34.26	29.64	32.22	35.93	31.55	28.84
220	30.10	34.07	34.29	29.67	32.25	35.96	31.57	28.84
221	30.11	34.10	34.31	29.68	32.28	35.99	31.60	28.84
222	30.13	34.12	34.33	29.70	32.31	36.01	31.63	28.84
223	30.15	34.14	34.36	29.71	32.34	36.04	31.65	28.84
224	30.17	34.17	34.38	29.74	32.36	36.07	31.68	28.83
225	30.18	34.19	34.41	29.75	32.40	36.10	31.71	28.84
226	30.19	34.21	34.43	29.77	32.43	36.13	31.73	28.83
227	30.20	34.23	34.46	29.78	32.46	36.15	31.76	28.83
228	30.22	34.26	34.48	29.80	32.48	36.19	31.78	28.83
229	30.23	34.28	34.50	29.82	32.52	36.21	31.81	28.83
230	30.25	34.30	34.52	29.84	32.54	36.23	31.84	28.83
231	30.26	34.32	34.55	29.85	32.57	36.26	31.86	28.83
232	30.27	34.34	34.58	29.88	32.60	36.29	31.88	28.83
233	30.29	34.36	34.59	29.89	32.63	36.31	31.91	28.83
234	30.31	34.38	34.62	29.91	32.66	36.34	31.94	28.82
235	30.32	34.41	34.65	29.92	32.68	36.37	31.96	28.83
236	30.34	34.42	34.67	29.94	32.71	36.40	31.98	28.83
237	30.35	34.45	34.69	29.96	32.75	36.42	32.01	28.82
238	30.37	34.47	34.71	29.97	32.77	36.44	32.03	28.82
239	30.38	34.49	34.73	29.99	32.80	36.47	32.06	28.82
240	30.40	34.52	34.76	30.02	32.83	36.49	32.08	28.82
241	30.41	34.54	34.78	30.03	32.86	36.52	32.10	28.83
242	30.43	34.56	34.80	30.04	32.89	36.55	32.14	28.82
243	30.44	34.58	34.83	30.06	32.92	36.58	32.16	28.82
244	30.46	34.59	34.85	30.08	32.94	36.60	32.18	28.82
245	30.47	34.62	34.86	30.10	32.98	36.63	32.20	28.82
246	30.49	34.64	34.89	30.11	33.00	36.65	32.24	28.82
247	30.50	34.66	34.91	30.13	33.03	36.68	32.26	28.82
248	30.52	34.68	34.93	30.15	33.06	36.70	32.28	28.82
249	30.53	34.70	34.95	30.16	33.09	36.73	32.30	28.82
250	30.55	34.72	34.97	30.18	33.11	36.76	32.33	28.82
251	30.56	34.74	35.00	30.20	33.14	36.78	32.36	28.82
