t       T1        T2        pa          pb          N
min     °C        °C        bar         bar         W
 0      21.5      21.4      5.1          5.25       0
 1      22.4      21.4      2.4          6.90       165
 2      23.2      21.3      2.6          7.00       175
 3      24.5      20.4      2.9          7.50       185
 4      26.1      18.9      3.0          7.75       195
 5      28.0      17.1      3.1          8.25       200
 6      30.0      15.2      3.2          8.50       203
 7      32.0      13.4      3.2          9.00       205
 8      33.9      11.5      3.2          9.50       206
 9      35.8       9.6      3.2          9.80       208
10      37.7       7.9      3.2         10.25       209
11      39.4       6.3      3.2         10.50       211
12      41.2       4.7      3.2         11.00       212
13      42.9       3.1      3.2         11.25       212
14      44.4       1.8      3.2         11.75       212
15      45.9       0.8      3.2         12.00       213
16      47.4       0.2      3.2         12.50       213
17      48.8      -0.3      3.2         13.00       210
18      50.0      -0.7      3.2         13.25       207
